id,user_id,category_id,amount,spent,type,created_at,updated_at,favorite
1,1,19,852.52,147.72,monthly,1713049200,1703289600,False
1,1,21,108.88,355.88,weekly,1692313200,1665442800,False
1,1,23,763.07,102.35,weekly,1724799600,1726786800,False
1,1,11,951.85,58.08,monthly,1653260400,1684537200,False
1,1,30,515.58,385.33,monthly,1664665200,1701993600,False
1,1,5,450.53,470.65,monthly,1661468400,1695596400,False
1,1,19,280.03,301.78,monthly,1674691200,1666393200,False
1,1,25,937.84,170.11,weekly,1702080000,1667692800,False
1,1,28,808.71,251.24,monthly,1670371200,1716246000,False
1,1,10,710.68,202.36,monthly,1676505600,1677283200,False
