id,user_id,forecast_type,forecast_value,date,forecast_description
1,1,Income,3308.64,1668643200,Forecast description 1
2,1,Savings,2341.02,1723244400,Forecast description 2
3,1,Savings,4269.07,1679871600,Forecast description 3
4,1,Savings,4654.27,1645574400,Forecast description 4
5,1,Expense,964.28,1711670400,Forecast description 5
6,1,Expense,2604.79,1713222000,Forecast description 6
7,1,Income,2077.84,1711065600,Forecast description 7
8,1,Expense,609.83,1647475200,Forecast description 8
9,1,Savings,4280.48,1642982400,Forecast description 9
10,1,Expense,4331.73,1728860400,Forecast description 10
11,1,Income,4329.79,1652742000,Forecast description 11
12,1,Savings,929.19,1648508400,Forecast description 12
13,1,Expense,3286.98,1717110000,Forecast description 13
14,1,Expense,1992.25,1664060400,Forecast description 14
15,1,Expense,3316.63,1646611200,Forecast description 15
16,1,Income,3133.24,1693436400,Forecast description 16
17,1,Expense,2079.42,1647820800,Forecast description 17
18,1,Savings,4682.58,1656370800,Forecast description 18
19,1,Expense,2550.11,1656543600,Forecast description 19
20,1,Income,2762.33,1697238000,Forecast description 20
21,1,Savings,2016.02,1726527600,Forecast description 21
22,1,Savings,2286.39,1707091200,Forecast description 22
23,1,Savings,1914.79,1702166400,Forecast description 23
24,1,Savings,642.16,1684537200,Forecast description 24
25,1,Savings,3691.49,1708560000,Forecast description 25
26,1,Income,3427.09,1704931200,Forecast description 26
27,1,Savings,606.85,1645056000,Forecast description 27
28,1,Income,3642.17,1664146800,Forecast description 28
29,1,Expense,4510.64,1665010800,Forecast description 29
30,1,Expense,3683.23,1645747200,Forecast description 30
31,1,Expense,4314.1,1649977200,Forecast description 31
32,1,Savings,2015.84,1698969600,Forecast description 32
33,1,Income,3065.8,1720047600,Forecast description 33
34,1,Savings,2788.78,1704931200,Forecast description 34
35,1,Income,1561.06,1679184000,Forecast description 35
36,1,Savings,2723.73,1661468400,Forecast description 36
37,1,Savings,3967.68,1693263600,Forecast description 37
38,1,Expense,3920.3,1658271600,Forecast description 38
39,1,Expense,3723.59,1642032000,Forecast description 39
40,1,Expense,1018.13,1671062400,Forecast description 40
41,1,Savings,3163.24,1675296000,Forecast description 41
42,1,Savings,3265.49,1684191600,Forecast description 42
43,1,Savings,3701.6,1647129600,Forecast description 43
44,1,Expense,3590.53,1700524800,Forecast description 44
45,1,Savings,2708.98,1665702000,Forecast description 45
46,1,Expense,4491.77,1661727600,Forecast description 46
47,1,Savings,1724.08,1727910000,Forecast description 47
48,1,Expense,3144.94,1687042800,Forecast description 48
49,1,Income,2873.69,1659394800,Forecast description 49
50,1,Savings,4412.42,1664060400,Forecast description 50
