id,user_id,type,recommendation,created_at
1,1,Savings,Recommendation 1,1653778800
1,1,Savings,Recommendation 2,1686178800
1,1,Savings,Recommendation 3,1666134000
1,1,Spending,Recommendation 4,1692399600
1,1,Savings,Recommendation 5,1718319600
1,1,Savings,Recommendation 6,1673481600
1,1,Investment,Recommendation 7,1676419200
1,1,Investment,Recommendation 8,1687388400
1,1,Savings,Recommendation 9,1659826800
1,1,Spending,Recommendation 10,1698883200
1,1,Savings,Recommendation 11,1686438000
1,1,Spending,Recommendation 12,1648594800
1,1,Investment,Recommendation 13,1688598000
1,1,Savings,Recommendation 14,1694905200
1,1,Investment,Recommendation 15,1675209600
1,1,Investment,Recommendation 16,1656975600
1,1,Investment,Recommendation 17,1689375600
1,1,Spending,Recommendation 18,1663023600
1,1,Savings,Recommendation 19,1684191600
1,1,Investment,Recommendation 20,1646179200
1,1,Investment,Recommendation 21,1676851200
1,1,Spending,Recommendation 22,1725318000
1,1,Spending,Recommendation 23,1700179200
1,1,Spending,Recommendation 24,1697410800
1,1,Spending,Recommendation 25,1682722800
1,1,Spending,Recommendation 26,1694127600
1,1,Savings,Recommendation 27,1686265200
1,1,Spending,Recommendation 28,1708905600
1,1,Investment,Recommendation 29,1711238400
1,1,Investment,Recommendation 30,1672185600
1,1,Investment,Recommendation 31,1723762800
1,1,Spending,Recommendation 32,1722985200
1,1,Spending,Recommendation 33,1646524800
1,1,Spending,Recommendation 34,1726873200
1,1,Savings,Recommendation 35,1675987200
1,1,Savings,Recommendation 36,1677715200
1,1,Investment,Recommendation 37,1709942400
1,1,Spending,Recommendation 38,1684969200
1,1,Spending,Recommendation 39,1696546800
1,1,Spending,Recommendation 40,1708819200
1,1,Savings,Recommendation 41,1697497200
1,1,Investment,Recommendation 42,1652655600
1,1,Savings,Recommendation 43,1719097200
1,1,Investment,Recommendation 44,1688252400
1,1,Spending,Recommendation 45,1677196800
1,1,Savings,Recommendation 46,1679356800
1,1,Investment,Recommendation 47,1685401200
1,1,Savings,Recommendation 48,1659308400
1,1,Savings,Recommendation 49,1723330800
1,1,Savings,Recommendation 50,1703462400
1,1,Savings,Recommendation 51,1670284800
1,1,Savings,Recommendation 52,1674604800
1,1,Savings,Recommendation 53,1698188400
1,1,Investment,Recommendation 54,1676851200
1,1,Savings,Recommendation 55,1705276800
1,1,Spending,Recommendation 56,1676592000
1,1,Savings,Recommendation 57,1652223600
1,1,Savings,Recommendation 58,1698969600
1,1,Savings,Recommendation 59,1673740800
1,1,Spending,Recommendation 60,1680562800
1,1,Spending,Recommendation 61,1703635200
1,1,Investment,Recommendation 62,1675555200
1,1,Savings,Recommendation 63,1711756800
1,1,Spending,Recommendation 64,1707609600
1,1,Spending,Recommendation 65,1674000000
1,1,Savings,Recommendation 66,1673222400
1,1,Spending,Recommendation 67,1671494400
1,1,Savings,Recommendation 68,1719356400
1,1,Savings,Recommendation 69,1648854000
1,1,Spending,Recommendation 70,1685487600
1,1,Investment,Recommendation 71,1679270400
1,1,Investment,Recommendation 72,1709510400
1,1,Investment,Recommendation 73,1709596800
1,1,Savings,Recommendation 74,1660345200
1,1,Savings,Recommendation 75,1668384000
1,1,Savings,Recommendation 76,1656543600
1,1,Investment,Recommendation 77,1699920000
1,1,Investment,Recommendation 78,1693695600
1,1,Investment,Recommendation 79,1696201200
1,1,Investment,Recommendation 80,1667952000
1,1,Spending,Recommendation 81,1709337600
1,1,Savings,Recommendation 82,1667692800
1,1,Investment,Recommendation 83,1689548400
1,1,Investment,Recommendation 84,1719961200
1,1,Spending,Recommendation 85,1642032000
1,1,Spending,Recommendation 86,1709164800
1,1,Spending,Recommendation 87,1660690800
1,1,Spending,Recommendation 88,1648681200
1,1,Savings,Recommendation 89,1721862000
1,1,Spending,Recommendation 90,1675468800
1,1,Spending,Recommendation 91,1641254400
1,1,Spending,Recommendation 92,1703808000
1,1,Investment,Recommendation 93,1716937200
1,1,Investment,Recommendation 94,1725231600
1,1,Investment,Recommendation 95,1705449600
1,1,Spending,Recommendation 96,1676419200
1,1,Investment,Recommendation 97,1644969600
1,1,Spending,Recommendation 98,1658703600
1,1,Savings,Recommendation 99,1707955200
1,1,Savings,Recommendation 100,1663455600
