id,user_id,crypto_name,amount_held,current_value,last_updated
1,1,LiteCoin,1.9537,34988.84,1686092400
2,1,LiteCoin,8.7867,21629.88,1646697600
3,1,Ethereum,8.1067,40029.68,1725663600
4,1,Ethereum,5.078,11378.04,1721170800
5,1,Bitcoin,0.5847,15608.61,1671494400
6,1,Ethereum,8.1905,43287.18,1698534000
7,1,LiteCoin,4.9859,49321.69,1727132400
8,1,Ethereum,2.5123,43524.79,1717801200
9,1,Bitcoin,7.8725,8914.95,1666738800
10,1,Bitcoin,8.7011,28091.05,1648422000
11,1,Ethereum,3.2053,7276.68,1695942000
12,1,Bitcoin,0.5362,47777.32,1672617600
13,1,Ethereum,1.6017,10665.72,1669075200
14,1,Bitcoin,9.3362,15046.89,1677628800
15,1,Bitcoin,7.7866,17675.43,1648767600
16,1,Ethereum,7.9756,19195.39,1696460400
17,1,Bitcoin,9.7819,34942.26,1720566000
18,1,Ethereum,5.1079,32511.99,1724540400
19,1,Ethereum,0.2701,10171.89,1651964400
20,1,Ethereum,5.0241,41023.44,1658530800
21,1,LiteCoin,3.8686,43414.26,1671408000
22,1,Bitcoin,2.3013,14284.15,1665961200
23,1,LiteCoin,6.823,37855.45,1702425600
24,1,LiteCoin,3.1825,13134.72,1711065600
25,1,Bitcoin,1.7969,18309.56,1670457600
26,1,LiteCoin,4.6348,19887.1,1726700400
27,1,Ethereum,4.3464,23788.11,1669852800
28,1,Bitcoin,7.8978,9483.32,1683759600
29,1,LiteCoin,3.5522,23277.03,1698102000
30,1,Bitcoin,8.1257,12959.88,1662418800
31,1,Ethereum,5.3801,39298.05,1701648000
32,1,Ethereum,1.6914,14021.2,1650322800
33,1,Bitcoin,7.4575,23213.46,1698624000
34,1,LiteCoin,8.8018,48710.81,1675468800
35,1,LiteCoin,9.6326,23325.82,1649545200
36,1,Ethereum,6.6475,30670.47,1693436400
37,1,Bitcoin,9.7918,29776.34,1700784000
38,1,Ethereum,4.9895,4285.91,1682290800
39,1,Bitcoin,1.4703,37370.14,1707177600
40,1,Bitcoin,2.1279,38061.66,1645228800
41,1,Bitcoin,4.6407,19632.6,1649458800
42,1,LiteCoin,2.214,24826.48,1726009200
43,1,Ethereum,0.422,42683.92,1660345200
44,1,Ethereum,9.5729,37608.98,1706400000
45,1,LiteCoin,2.6551,24874.45,1678924800
46,1,Ethereum,4.8,7317.34,1644364800
47,1,Bitcoin,5.929,47782.07,1678665600
48,1,Ethereum,9.3091,14084.18,1664233200
49,1,LiteCoin,6.8231,39132.14,1703980800
50,1,LiteCoin,1.9753,10575.74,1702857600
